playerID,yearID
verbaem01,1945
walkedi02,1945
wyseha01,1945
fellebo01,1946
hayesfr01,1946
vernomi01,1946
doerrbo01,1946
keltnke01,1946
peskyjo01,1946
willite01,1946
dimagdo01,1946
kellech01,1946
applilu01,1946
chandsp01,1946
chapmsa01,1946
dickebi01,1946
dimagjo01,1946
ferrida01,1946
gordojo01,1946
harrimi01,1946
krameja01,1946
newhoha01,1946
rosarbu01,1946
spencst01,1946
stephve01,1946
stirnsn01,1946
wagneha01,1946
yorkru01,1946
passecl01,1946
coopewa01,1946
mizejo01,1946
schoere01,1946
kurowwh01,1946
marioma01,1946
musiast01,1946
hoppjo01,1946
walkedi02,1946
blackew01,1946
cavarph01,1946
coopemo01,1946
ennisde01,1946
gustifr01,1946
higbeki01,1946
lamanra01,1946
lowrepe01,1946
masiph01,1946
mccorfr01,1946
milleed03,1946
polleho01,1946
reesepe01,1946
reisepe01,1946
schmijo01,1946
sewelri01,1946
slaugen01,1946
verbaem01,1946
newhoha01,1947
rosarbu01,1947
mcquige02,1947
gordojo01,1947
kellge01,1947
boudrlo01,1947
willite01,1947
dimagjo01,1947
lewisbu01,1947
applilu01,1947
chandsp01,1947
doerrbo01,1947
fellebo01,1947
heganji01,1947
henrito01,1947
johnsbi03,1947
kellech01,1947
krameja01,1947
mastewa02,1947
mullipa01,1947
pagejo01,1947
robinaa01,1947
sheasp01,1947
spencst01,1947
troutdi01,1947
wynnea01,1947
yorkru01,1947
blackew01,1947
coopewa01,1947
mizejo01,1947
verbaem01,1947
gustifr01,1947
marioma01,1947
slaugen01,1947
walkeha01,1947
walkedi02,1947
brancra01,1947
brechha01,1947
cavarph01,1947
edwarbr01,1947
elliobo01,1947
haasbe01,1947
kurowwh01,1947
marshwi01,1947
masiph01,1947
milleed03,1947
mungere01,1947
musiast01,1947
pafkoan01,1947
reesepe01,1947
rowesc01,1947
sainjo01,1947
spahnwa01,1947
stanked01,1947
mastewa02,1948
rosarbu01,1948
mcquige02,1948
gordojo01,1948
keltnke01,1948
boudrlo01,1948
henrito01,1948
eversho01,1948
mullipa01,1948
berrayo01,1948
colemjo04,1948
dimagjo01,1948
dobsojo01,1948
doerrbo01,1948
fellebo01,1948
haynejo01,1948
kellge01,1948
lemonbo01,1948
newhoha01,1948
pagejo01,1948
raschvi01,1948
stephve01,1948
tebbebi01,1948
vernomi01,1948
willite01,1948
zarilal01,1948
brancra01,1948
coopewa01,1948
mizejo01,1948
schoere01,1948
pafkoan01,1948
reesepe01,1948
musiast01,1948
ashburi01,1948
slaugen01,1948
blackew01,1948
brechha01,1948
elliobo01,1948
gordosi01,1948
gustifr01,1948
holmeto01,1948
kerrbu01,1948
kinerra01,1948
marioma01,1948
masiph01,1948
mcculcl01,1948
riddlel01,1948
rignebi01,1948
sainjo01,1948
schmijo01,1948
stanked01,1948
thomsbo01,1948
waitked01,1948
parneme01,1949
tebbebi01,1949
robined01,1949
michaca01,1949
kellge01,1949
joosted01,1949
willite01,1949
dimagjo01,1949
dimagdo01,1949
berrayo01,1949
brisslo01,1949
dillibo01,1949
dobyla01,1949
goodmbi01,1949
gordojo01,1949
heganji01,1949
henrito01,1949
kellnal01,1949
lemonbo01,1949
mitchda01,1949
raschvi01,1949
reynoal01,1949
stephve01,1949
truckvi01,1949
wertzvi01,1949
spahnwa01,1949
seminan01,1949
mizejo01,1949
robinja02,1949
kazaked01,1949
reesepe01,1949
kinerra01,1949
musiast01,1949
marshwi01,1949
bickfve01,1949
blackew01,1949
brancra01,1949
camparo01,1949
coopewa01,1949
gordosi01,1949
hodgegi01,1949
marioma01,1949
mungere01,1949
newcodo01,1949
pafkoan01,1949
polleho01,1949
roepr01,1949
schoere01,1949
slaugen01,1949
thomsbo01,1949
raschvi01,1950
berrayo01,1950
dropowa01,1950
doerrbo01,1950
kellge01,1950
rizzuph01,1950
willite01,1950
dobyla01,1950
eversho01,1950
byrneto01,1950
colemje01,1950
dimagdo01,1950
dimagjo01,1950
fainfe01,1950
fellebo01,1950
grayte01,1950
heganji01,1950
henrito01,1950
houttar01,1950
lemonbo01,1950
lollash01,1950
michaca01,1950
reynoal01,1950
scarbra01,1950
stephve01,1950
roberro01,1950
camparo01,1950
musiast01,1950
robinja02,1950
joneswi01,1950
marioma01,1950
kinerra01,1950
slaugen01,1950
sauerha01,1950
blackew01,1950
coopewa01,1950
hodgegi01,1950
jansela01,1950
konstji01,1950
newcodo01,1950
pafkoan01,1950
reesepe01,1950
roepr01,1950
rushbo01,1950
schoere01,1950
sisledi01,1950
snidedu01,1950
spahnwa01,1950
stanked01,1950
wyrosjo01,1950
garvene01,1951
berrayo01,1951
fainfe01,1951
foxne01,1951
kellge01,1951
carrach01,1951
willite01,1951
dimagdo01,1951
wertzvi01,1951
busbyji01,1951
dimagjo01,1951
dobyla01,1951
doerrbo01,1951
gumpera01,1951
heganji01,1951
hutchfr01,1951
lemonbo01,1951
lopated01,1951
marreco01,1951
minosmi01,1951
parneme01,1951
rizzuph01,1951
robined01,1951
shantbo01,1951
stephve01,1951
roberro01,1951
camparo01,1951
hodgegi01,1951
robinja02,1951
elliobo01,1951
darkal01,1951
musiast01,1951
ashburi01,1951
ennisde01,1951
blackew01,1951
edwarbr01,1951
jansela01,1951
joneswi01,1951
kinerra01,1951
leonadu02,1951
maglisa01,1951
newcodo01,1951
reesepe01,1951
roepr01,1951
schoere01,1951
slaugen01,1951
snidedu01,1951
spahnwa01,1951
westlwa01,1951
wyrosjo01,1951
raschvi01,1952
berrayo01,1952
robined01,1952
avilabo01,1952
rosenal01,1952
rizzuph01,1952
mitchda01,1952
dimagdo01,1952
bauerha01,1952
dobyla01,1952
fainfe01,1952
foxne01,1952
garcimi01,1952
heganji01,1952
jenseja01,1952
joosted01,1952
kellge01,1952
lemonbo01,1952
mantlmi01,1952
mcdougi01,1952
minosmi01,1952
paigesa01,1952
reynoal01,1952
shantbo01,1952
wertzvi01,1952
yosted01,1952
simmocu01,1952
camparo01,1952
lockmwh01,1952
robinja02,1952
thomsbo01,1952
hamnegr01,1952
sauerha01,1952
musiast01,1952
slaugen01,1952
atwelto01,1952
darkal01,1952
furilca01,1952
hattogr01,1952
hearnji01,1952
hodgegi01,1952
irvinmo01,1952
kinerra01,1952
maglisa01,1952
reesepe01,1952
roberro01,1952
roepr01,1952
rushbo01,1952
schoere01,1952
snidedu01,1952
spahnwa01,1952
stalege01,1952
westrwe01,1952
piercbi02,1953
berrayo01,1953
vernomi01,1953
goodmbi01,1953
rosenal01,1953
carrach01,1953
zernigu01,1953
mantlmi01,1953
bauerha01,1953
dobyla01,1953
fainfe01,1953
foxne01,1953
garcimi01,1953
huntebi03,1953
kellge01,1953
kuennha01,1953
lemonbo01,1953
minosmi01,1953
mizejo01,1953
paigesa01,1953
reynoal01,1953
rizzuph01,1953
robined01,1953
sainjo01,1953
whitesa02,1953
willite01,1953
roberro01,1953
camparo01,1953
kluszte01,1953
schoere01,1953
matheed01,1953
reesepe01,1953
musiast01,1953
bellgu01,1953
slaugen01,1953
ashburi01,1953
crandde01,1953
dicksmu01,1953
furilca01,1953
haddiha01,1953
hamnegr01,1953
hodgegi01,1953
kinerra01,1953
mcculcl01,1953
ricede01,1953
robinja02,1953
simmocu01,1953
snidedu01,1953
spahnwa01,1953
stalege01,1953
westrwe01,1953
wilheho01,1953
willida03,1953
fordwh01,1954
berrayo01,1954
rosenal01,1954
avilabo01,1954
boonera01,1954
carrach01,1954
minosmi01,1954
mantlmi01,1954
bauerha01,1954
consusa01,1954
dobyla01,1954
fainfe01,1954
finigji01,1954
foxne01,1954
garcimi01,1954
keegabo01,1954
kellge01,1954
kuennha01,1954
lemonbo01,1954
lollash01,1954
norenir01,1954
piersji01,1954
portebo01,1954
reynoal01,1954
stonede01,1954
truckvi01,1954
turlebo01,1954
vernomi01,1954
willite01,1954
roberro01,1954
camparo01,1954
kluszte01,1954
hamnegr01,1954
jablora01,1954
darkal01,1954
robinja02,1954
snidedu01,1954
musiast01,1954
antonjo02,1954
bellgu01,1954
burgesm01,1954
conlege01,1954
crandde01,1954
erskica01,1954
grissma01,1954
haddiha01,1954
hodgegi01,1954
jacksra01,1954
mayswi01,1954
muelldo01,1954
reesepe01,1954
schoere01,1954
spahnwa01,1954
thomafr03,1954
wilsoji02,1954
piercbi02,1955
berrayo01,1955
vernomi01,1955
foxne01,1955
finigji01,1955
kuennha01,1955
willite01,1955
mantlmi01,1955
kalinal01,1955
avilabo01,1955
carrach01,1955
dobyla01,1955
donovdi01,1955
fordwh01,1955
hoeftbi01,1955
jenseja01,1955
lollash01,1955
powervi01,1955
rosenal01,1955
scorehe01,1955
smithal04,1955
sullifr01,1955
